activity_id,activity_name,industry,target_audience,objective,platform_set,activity_time,location,key_selling_points,speaker,signup_method,tone_hint,constraints,reference_case,expected_output_count
A001,企业AI实战营001,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-01 19:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,扫码填写报名表,专业可信,避免夸大收益,C001,4
A002,新零售案例拆解会002,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-03-02 20:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,点击落地页预约,年轻化种草,不承诺录用或成交结果,C002,3
A003,财务数字化私享会003,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-03-03 21:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,社群接龙报名,直接有行动号召,价格待确认需标记,C003,3
A004,HR招聘工作坊004,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-03-04 19:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,私信领取报名链接,老板视角,不得使用绝对化用语,C004,3
A005,产品管理线下沙龙005,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-03-05 20:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,扫码填写报名表,实战接地气,避免夸大收益,C005,3
A006,客户服务新品发布会006,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-06 21:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,点击落地页预约,专业可信,不承诺录用或成交结果,C006,4
A007,数据分析客户增长课007,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-03-07 19:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,社群接龙报名,年轻化种草,价格待确认需标记,C007,3
A008,智能制造公开课008,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-03-08 20:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,私信领取报名链接,直接有行动号召,不得使用绝对化用语,C008,3
A009,教育培训训练营009,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-03-09 21:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,扫码填写报名表,老板视角,避免夸大收益,C009,3
A010,SaaS增长行业报告解读010,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-03-10 19:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,点击落地页预约,实战接地气,不承诺录用或成交结果,C010,3
A011,企业AI实战营011,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-11 20:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,社群接龙报名,专业可信,价格待确认需标记,C011,4
A012,新零售案例拆解会012,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-03-12 21:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,私信领取报名链接,年轻化种草,不得使用绝对化用语,C012,3
A013,财务数字化私享会013,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-03-13 19:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,扫码填写报名表,直接有行动号召,避免夸大收益,C001,3
A014,HR招聘工作坊014,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-03-14 20:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,点击落地页预约,老板视角,不承诺录用或成交结果,C002,3
A015,产品管理线下沙龙015,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-03-15 21:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,社群接龙报名,实战接地气,价格待确认需标记,C003,3
